Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,2616.39337347881,3154.52270426546,10986.5031573698,10301.7539094475,10407.0928957116,10193.5708343143,7486.55012622055,7396.63387786851,8417.92490918151,7483.43466888086,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brunei Darussalam,BRN,9549.87897440366,12515.0662363829,31823.1226892758,33576.2136307718,33632.6499873459,32026.4102308335,25944.8184614605,24166.3630146772,24625.5269252638,24019.6100425007,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bulgaria,BGR,1833.0453412547,1366.34684568407,6339.82735384448,6178.9901358562,6365.81090160602,6583.43102271066,5767.00819583548,6202.05678716522,6913.48668473034,8148.28832754398,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burkina Faso,BFA,314.05005408516,..,..,..,..,..,482.618059917995,481.762130680901,527.762402284909,605.120341792894,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burundi,BDI,147.307687143235,97.3595559486335,153.864909599501,175.357814479283,180.364192477153,191.415174154879,216.101127249356,196.737774143654,207.303283668888,205.600481351323,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cabo Verde,CPV,758.661395412549,1037.43502140952,2884.44059135815,2624.32715521161,2772.11958037796,2690.53894182201,2304.3797256242,2386.69023313857,2527.98240921112,2827.993061768,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cambodia,KHM,..,270.088175030466,739.483653708286,795.536986381474,860.619209584954,903.220736252171,948.610266263353,1016.58707371322,1099.54323639276,1185.6778502788,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cameroon,CMR,754.880525665439,507.722300816319,1117.26730546802,1067.49025692499,1160.03157182317,1245.23935714679,1080.86249337765,1110.21537031093,1142.54019918994,1212.50151730117,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Canada,CAN,17195.5697627387,19531.8358855106,42476.6369169455,42856.4594623388,42898.5552684412,41435.3624613536,35215.3658385292,34217.1871738967,36907.6130115922,37653.2813630371,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Central African Republic,CAF,459.261623629382,230.515777208442,486.153118458574,494.023918309342,305.743342655143,345.414964890404,314.634202853353,338.632396664226,397.763531829373,435.555329117596,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Chad,TCD,275.613313075805,152.248091041479,729.910114234875,728.641219546256,749.441650169398,772.713973733652,621.778000066757,554.778453890577,494.887432555909,522.040577344011,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Chile,CHL,1878.15578708357,4005.91742436929,10595.7982103468,11439.5919915978,11878.4741032994,11187.6353039795,10617.5919846246,10769.6908204498,11366.4436284389,11844.5617786525,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,271.305627673999,791.717655461957,4002.01095397059,4591.28462322691,5139.66361598461,5716.80936474318,6055.25565796829,6138.71812789001,6648.52852946484,7709.67155877119,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Colombia,COL,1163.10442150742,2016.46556158215,5568.64710904918,6195.59362712047,6357.6582726272,6330.93250722522,4970.11204335272,4749.65224865038,5045.14261402449,5132.97833076824,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Comoros,COM,965.071132187026,591.741048964011,1311.13965946078,1264.43037086107,1357.31706077541,1363.56213519795,1118.97688127441,1146.99872170082,1194.25240952773,1287.84030597507,..,..
